Motif	# matches	% matches input	# matches background	%matches background	P-value	log10 P-value	ROC AUC	PR AUC	Enr. at 1% FPR	Recall at 10% FDR
GimmeMotifs_1	253	9.906	100	1.000	4.13e-99	98.384	0.880	0.609	9.90	0.0004
GimmeMotifs_2	121	4.738	102	1.020	1.75e-29	28.756	0.717	0.380	4.64	0.0039
GimmeMotifs_3	103	4.033	100	1.000	2.85e-22	21.544	0.635	0.313	4.03	0.0020
GimmeMotifs_4	72	2.819	102	1.020	1.66e-10	9.781	0.625	0.289	2.76	0.0004
GimmeMotifs_5	56	2.193	101	1.010	5.42e-06	5.266	0.620	0.283	2.17	0.0004
GimmeMotifs_6	86	3.367	100	1.000	1.21e-15	14.917	0.591	0.268	3.37	0.0000
GimmeMotifs_7	59	2.310	100	1.000	6.90e-07	6.161	0.545	0.238	2.31	0.0012
GimmeMotifs_8	123	4.816	145	1.450	1.73e-21	20.763	0.720	0.368	3.32	0.0000
GimmeMotifs_9	100	3.915	102	1.020	1.21e-20	19.919	0.722	0.366	3.84	0.0000
GimmeMotifs_10	113	4.424	100	1.000	1.79e-26	25.748	0.661	0.334	4.42	0.0004
GimmeMotifs_11	77	3.015	100	1.000	1.90e-12	11.722	0.643	0.305	3.01	0.0000
GimmeMotifs_12	97	3.798	106	1.060	1.07e-18	17.971	0.632	0.304	3.58	0.0004
GimmeMotifs_13	49	1.919	120	1.200	4.44e-03	2.353	0.620	0.265	1.60	0.0000
GimmeMotifs_14	37	1.449	104	1.040	5.34e-02	1.273	0.601	0.262	1.39	0.0000
GimmeMotifs_15	76	2.976	100	1.000	4.15e-12	11.382	0.595	0.272	2.97	0.0008
GimmeMotifs_16	34	1.331	100	1.000	9.17e-02	1.037	0.580	0.246	1.33	0.0000
GimmeMotifs_17	114	4.464	101	1.010	1.13e-26	25.945	0.571	0.279	4.42	0.0000
GimmeMotifs_18	51	1.997	115	1.150	9.60e-04	3.018	0.573	0.245	1.74	0.0000
GimmeMotifs_19	58	2.271	100	1.000	1.29e-06	5.890	0.555	0.242	2.27	0.0000
