Chrom	Start	End	X4.8851361.8851762	.	..1	X8851361.1	X8851762.1	X0	X1	X401	X8851353	cluster_1	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	geneId
chr9	50602152	50602553	9:50602152-50602553	.	.	50602152	50602553	0	1	401	50602147	cluster_3	Promoter (1-2kb)	9	50596338	50603849	7512	2	ENSMUST00000000175	1296	ENSMUSG00000000171	ENSMUSG00000000171
chr14	123554965	123555366	14:123554965-123555366	.	.	123554965	123555366	0	1	401	123554964	cluster_3	Intron (ENSMUST00000000201/ENSMUSG00000000197, intron 7 of 43)	14	123276641	123627144	350504	2	ENSMUST00000000201	71778	ENSMUSG00000000197	ENSMUSG00000000197
chr13	45593752	45594153	13:45593752-45594153	.	.	45593752	45594153	0	1	401	45593748	cluster_3	Intron (ENSMUST00000091628/ENSMUSG00000046876, intron 6 of 7)	13	45538809	45542550	3742	1	ENSMUST00000129176	54944	ENSMUSG00000000253	ENSMUSG00000000253
chr10	31426577	31426978	10:31426577-31426978	.	.	31426577	31426978	0	1	401	31426574	cluster_3	Intron (ENSMUST00000000305/ENSMUSG00000000296, intron 1 of 6)	10	31332380	31445921	113542	2	ENSMUST00000000305	18943	ENSMUSG00000000296	ENSMUSG00000000296
chr18	24197213	24197614	18:24197213-24197614	.	.	24197213	24197614	0	1	401	24197211	cluster_3	Distal Intergenic	18	24205344	24286818	81475	1	ENSMUST00000000430	-7730	ENSMUSG00000000420	ENSMUSG00000000420
chr5	71209453	71209854	5:71209453-71209854	.	.	71209453	71209854	0	1	401	71209446	cluster_3	Distal Intergenic	5	70961057	71095849	134793	2	ENSMUST00000000572	-113605	ENSMUSG00000000560	ENSMUSG00000000560
chr6	82853075	82853476	6:82853075-82853476	.	.	82853075	82853476	0	1	401	82853067	cluster_3	Distal Intergenic	6	82914084	82917586	3503	2	ENSMUST00000125579	64110	ENSMUSG00000000627	ENSMUSG00000000627
chr17	53654635	53655036	17:53654635-53655036	.	.	53654635	53655036	0	1	401	53654630	cluster_3	Intron (ENSMUST00000000724/ENSMUSG00000000708, intron 11 of 17)	17	53659238	53663649	4412	1	ENSMUST00000167092	-4202	ENSMUSG00000000708	ENSMUSG00000000708
chr10	6578578	6578979	10:6578578-6578979	.	.	6578578	6578979	0	1	401	6578572	cluster_3	Distal Intergenic	10	6758506	6979704	221199	1	ENSMUST00000147171	-179527	ENSMUSG00000000766	ENSMUSG00000000766
chr3	89603314	89603715	3:89603314-89603715	.	.	89603314	89603715	0	1	401	89603306	cluster_3	Intron (ENSMUST00000000811/ENSMUSG00000000794, intron 2 of 7)	3	89662518	89667582	5065	1	ENSMUST00000124584	-58803	ENSMUSG00000000794	ENSMUSG00000000794
