Chrom	Start	End	X4.8851361.8851762	.	..1	X8851361.1	X8851762.1	X0	X1	X401	X8851353	cluster_1	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	geneId
chr7	143470629	143471030	7:143470629-143471030	.	.	143470629	143471030	0	1	401	143470628	cluster_1	Promoter (2-3kb)	7	143473721	143476309	2589	1	ENSMUST00000146983	-2691	ENSMUSG00000000154	ENSMUSG00000000154
chr7	143031077	143031478	7:143031077-143031478	.	.	143031077	143031478	0	1	401	143031076	cluster_1	Intron (ENSMUST00000133630/ENSMUSG00000059277, intron 4 of 4)	7	143017409	143018903	1495	1	ENSMUST00000154264	13669	ENSMUSG00000000244	ENSMUSG00000000244
chr11	60288965	60289366	11:60288965-60289366	.	.	60288965	60289366	0	1	401	60288959	cluster_1	Intron (ENSMUST00000095254/ENSMUSG00000000538, intron 1 of 13)	11	60229902	60245669	15768	2	ENSMUST00000143124	-43297	ENSMUSG00000000538	ENSMUSG00000000538
chr17	83889837	83890238	17:83889837-83890238	.	.	83889837	83890238	0	1	401	83889829	cluster_1	Distal Intergenic	17	83831356	83846790	15435	2	ENSMUST00000000687	-43048	ENSMUSG00000000673	ENSMUSG00000000673
chr8	123146376	123146777	8:123146376-123146777	.	.	123146376	123146777	0	1	401	123146375	cluster_1	Intron (ENSMUST00000127664/ENSMUSG00000092329, intron 1 of 15)	8	123148120	123158228	10109	2	ENSMUST00000146007	11451	ENSMUSG00000000739	ENSMUSG00000000739
chr10	6871411	6871812	10:6871411-6871812	.	.	6871411	6871812	0	1	401	6871405	cluster_1	Intron (ENSMUST00000147171/ENSMUSG00000000766, intron 4 of 5)	10	6789099	6849987	60889	1	ENSMUST00000148625	82313	ENSMUSG00000000766	ENSMUSG00000000766
chr10	6538245	6538646	10:6538245-6538646	.	.	6538245	6538646	0	1	401	6538239	cluster_1	Distal Intergenic	10	6758506	6979704	221199	1	ENSMUST00000147171	-219860	ENSMUSG00000000766	ENSMUSG00000000766
chr10	6797508	6797909	10:6797508-6797909	.	.	6797508	6797909	0	1	401	6797502	cluster_1	Intron (ENSMUST00000147171/ENSMUSG00000000766, intron 1 of 5)	10	6789099	6849987	60889	1	ENSMUST00000148625	8410	ENSMUSG00000000766	ENSMUSG00000000766
chr10	76866770	76867171	10:76866770-76867171	.	.	76866770	76867171	0	1	401	76866763	cluster_1	Intron (ENSMUST00000001148/ENSMUSG00000001120, intron 2 of 15)	10	76789803	76905862	116060	2	ENSMUST00000171437	38691	ENSMUSG00000001120	ENSMUSG00000001120
chr8	8392338	8392739	8:8392338-8392739	.	.	8392338	8392739	0	1	401	8392330	cluster_1	Distal Intergenic	8	8620597	8639363	18767	2	ENSMUST00000152698	246624	ENSMUSG00000001300	ENSMUSG00000001300
