ENSEMBL	SYMBOL	shFoxg1/ctrl	K27ac shFoxg1/Ctrl	shFoxg1 TSA/DMSO	Ctrl TSA/DMSO
ENSMUSG00000004651	Tyr	-0.0820378205514058	-2.26437063133506	0.814591859924383	0.24390112948848
ENSMUSG00000004698	Hdac9	-0.428369595614832	-0.791092481562312	-1.48188980975567	-2.07495526624222
ENSMUSG00000004698	Hdac9	-0.428369595614832	-0.969264466104475	-1.48188980975567	-2.07495526624222
ENSMUSG00000005506	Celf1	0.043163062185458	-1.75516946951743	0.638112519591239	0.327026462819556
ENSMUSG00000005886	Ncoa2	-0.184499795238505	-2.18186166522332	-0.491522478894595	-0.821478856463902
ENSMUSG00000005994	Tyrp1	-1.6400373737033	-1.5011566035144	-1.51130759420484	-1.91474880121017
ENSMUSG00000011463	Cpb1	0.144343129178912	-1.77685799057976	-1.72491511186869	-0.974556613219681
ENSMUSG00000015501	Hivep2	-0.743210795588175	-1.65708478100168	-1.77755019106452	-2.63806038011639
ENSMUSG00000015568	Lpl	-0.465484946766816	-1.20301324109662	-0.926596161108285	-1.9168679419064
ENSMUSG00000015568	Lpl	-0.465484946766816	-1.47563640265994	-0.926596161108285	-1.9168679419064
ENSMUSG00000015568	Lpl	-0.465484946766816	-2.42618059575279	-0.926596161108285	-1.9168679419064
ENSMUSG00000019865	Nmbr	-2.81776762088782	-2.06281926679737	1.20302169471636	-1.53506547692386
ENSMUSG00000019920	Lims1	-0.557415614044182	-0.773416243205691	0.526518483866959	0.189513208507115
ENSMUSG00000019929	Dcn	-0.197098125565685	-1.62300000504011	-3.05532057382626	-2.17306199158305
ENSMUSG00000020169	Best3	-1.1540377583783	-1.93843806964043	-1.07602464121872	-3.07341485846328
ENSMUSG00000020650	Bcap29	1.14977897517655	-2.38975840159035	0.575218888358297	0.938041892644157
ENSMUSG00000020651	Slc26a4	-1.87937338387693	-1.03263712347139	0.531975648973408	-1.20192307627511
ENSMUSG00000021068	Nin	-1.35474060647634	-0.719067738325226	-0.0176828047489195	-1.18605031898895
