	z-score ATAC_gain	z-score ATAC_loss	ATAC_gain % with motif	ATAC_loss % with motif
GM.5.0.C2H2_ZF_Homeodomain.0001	-0.5055682709045471	-1.0249293780781796	0.0	0.0
GM.5.0.bHLH.0088	1.2193472017469715	0.34528739199913716	1.3043478260869565	0.0
GM.5.0.p53.0007	0.5221089260080783	1.240800322575383	0.43478260869565216	0.7092198581560284
GM.5.0.Zinc_cluster.0001	0.029737886122112762	1.1661773330887468	0.43478260869565216	1.0638297872340425
GM.5.0.C2H2_ZF.0196	-1.1597169070755808	1.7909933606632258	0.43478260869565216	2.127659574468085
GM.5.0.DM.0004	-0.15940844349504987	-1.1827161238506512	0.43478260869565216	0.0
GM.5.0.Unknown.0084	-1.2962780781259877	-0.5825008416611629	0.8695652173913043	0.7092198581560284
GM.5.0.Unknown.0128	-1.1619685716608266	1.0278840759706473	0.8695652173913043	0.3546099290780142
GM.5.0.C2H2_ZF.0283	0.4741035749224756	0.2629320235599944	0.43478260869565216	0.7092198581560284
GM.5.0.Mixed.0044	-2.1643090256602475	-1.2547216289092178	1.7391304347826086	0.3546099290780142
GM.5.0.Unknown.0092	-1.01279189782721	1.6536125795716017	0.43478260869565216	1.4184397163120568
GM.5.0.Nuclear_receptor.0070	-1.9599185062730204	-0.6078670436812398	0.0	1.0638297872340425
GM.5.0.Forkhead.0050	-1.2131781776927741	0.37446369989438816	1.3043478260869565	1.773049645390071
GM.5.0.bHLH.0086	-1.2553376374495755	-1.4556070981342921	0.0	0.0
GM.5.0.C2H2_ZF.0129	0.36771993478273673	0.5182536823652585	0.43478260869565216	0.7092198581560284
GM.5.0.GATA.0025	-2.212251139829958	0.7024100707008925	0.0	0.0
GM.5.0.Rel.0020	1.196111477542357	0.21670585822516883	3.4782608695652173	0.3546099290780142
GM.5.0.Unknown.0057	0.6858013198555419	1.2377479363906125	2.608695652173913	0.3546099290780142
GM.5.0.Grainyhead.0008	-0.12906584252356101	1.3091488476134165	0.0	1.0638297872340425
GM.5.0.Unknown.0161	-1.6925014267641363	1.4637946713999463	19.565217391304348	20.921985815602838
GM.5.0.T-box.0018	-2.0334228188843677	-0.5886861697459811	1.3043478260869565	0.7092198581560284
GM.5.0.SMAD.0007	-0.43621098040032374	-0.9813330919821964	1.7391304347826086	1.0638297872340425
GM.5.0.Homeodomain.0166	0.7611666107150552	-1.0232327667507626	3.0434782608695654	1.0638297872340425
GM.5.0.Unknown.0119	-0.07790563161898982	0.0794268899399291	0.0	0.3546099290780142
GM.5.0.C2H2_ZF.0012	0.12676809975834413	-2.26264838702249	0.8695652173913043	1.4184397163120568
GM.5.0.Homeodomain.0053	0.6123509228403727	0.18061209210529888	0.43478260869565216	1.0638297872340425
GM.5.0.C2H2_ZF.0123	-1.6279304214497115	-0.3178806439838751	1.3043478260869565	1.0638297872340425
GM.5.0.Unknown.0085	0.3965744856446145	0.05638615765452732	0.8695652173913043	0.7092198581560284
GM.5.0.Forkhead.0057	-0.936624355489502	1.2309153066758094	0.43478260869565216	0.7092198581560284
GM.5.0.GATA.0018	-0.5413398639937639	1.046825372672365	0.0	2.127659574468085
GM.5.0.Unknown.0121	1.257434641816739	-1.6263798128452052	11.304347826086957	11.347517730496454
GM.5.0.C2HC_ZF.0001	-1.5297599363293761	-0.1499964831047042	0.0	0.0
GM.5.0.Forkhead.0041	2.3696805030577117	-0.6652164001591119	3.0434782608695654	0.3546099290780142
GM.5.0.Homeodomain.0162	-1.384113617096094	-1.5410501260161098	0.8695652173913043	0.7092198581560284
GM.5.0.Myb_SANT.0009	1.0348490937399901	-1.4325222525543042	1.3043478260869565	0.3546099290780142
GM.5.0.C2H2_ZF.0219	-1.314613189172794	0.4303550227103193	2.1739130434782608	1.4184397163120568
GM.5.0.Ets.0038	-2.5995985904294803	0.3436789484854627	1.3043478260869565	1.773049645390071
GM.5.0.C2H2_ZF.0047	2.2762078346370815	-2.0512937624944563	2.1739130434782608	0.7092198581560284
GM.5.0.CUT_Homeodomain.0012	-0.7093184063859772	-0.9057070272057897	0.8695652173913043	1.0638297872340425
GM.5.0.Unknown.0157	0.3135641591591983	2.061954479847275	0.0	1.4184397163120568
GM.5.0.Mixed.0074	0.9986535323417046	-0.7245770602283298	0.0	1.0638297872340425
GM.5.0.C2H2_ZF.0307	-1.1114426732954892	-0.8002192647819573	1.3043478260869565	1.773049645390071
GM.5.0.GCM.0004	0.660329141137776	-2.316244146174243	2.608695652173913	1.4184397163120568
GM.5.0.C2H2_ZF.0134	0.2660228418099221	0.6856737431545522	1.7391304347826086	0.3546099290780142
GM.5.0.Nuclear_receptor.0104	2.0291622275133183	-1.961714605991927	2.1739130434782608	1.0638297872340425
GM.5.0.bHLH.0119	-0.2836943418326229	0.40074679901839094	1.3043478260869565	0.7092198581560284
GM.5.0.Homeodomain.0155	3.8255978076520414	-1.4450655595424016	6.086956521739131	0.0
GM.5.0.C2H2_ZF.0004	1.3569350274456318	-0.007998693958397286	0.0	1.0638297872340425
GM.5.0.C2H2_ZF.0132	0.6629989196237315	-2.278081748341059	0.8695652173913043	0.3546099290780142
GM.5.0.Unknown.0138	-0.1646897656283719	-0.33147700820555437	0.43478260869565216	1.0638297872340425
GM.5.0.Nuclear_receptor.0111	-0.22090993329949307	2.04632854282689	0.0	2.127659574468085
GM.5.0.RFX.0009	1.3425130613743315	0.15188079001377142	1.7391304347826086	0.0
GM.5.0.Mixed.0078	-1.885544054324957	0.9353122657192632	0.8695652173913043	1.4184397163120568
GM.5.0.C2H2_ZF.0110	-0.3807850612437064	-0.9991738518094083	1.3043478260869565	0.3546099290780142
GM.5.0.C2H2_ZF.0305	-1.92902855901125	-0.7475423584221849	0.8695652173913043	1.773049645390071
GM.5.0.Mixed.0035	2.5017546015958456	-1.9626107594601894	3.4782608695652173	0.3546099290780142
GM.5.0.C2H2_ZF.0089	-0.26406176496398226	2.0883639232367983	0.0	1.0638297872340425
GM.5.0.Unknown.0193	0.7200456871694796	1.5637602652075273	0.8695652173913043	1.0638297872340425
GM.5.0.Homeodomain.0120	1.2435246874055197	-0.6666933468767107	1.3043478260869565	1.0638297872340425
GM.5.0.C2H2_ZF.0076	-1.5869536557506556	-0.780063578661474	2.1739130434782608	1.0638297872340425
GM.5.0.Mixed.0033	2.006812672038395	-1.0286569134276482	3.0434782608695654	0.7092198581560284
GM.5.0.p53.0002	-0.33023587927939657	-0.10646620352626472	2.608695652173913	0.7092198581560284
GM.5.0.Paired_box.0012	-0.051479134758787216	0.5252613674290265	1.3043478260869565	0.3546099290780142
GM.5.0.Unknown.0117	0.6759017835314902	0.3700810973690112	1.3043478260869565	0.0
