# maelstrom - GimmeMotifs version 0.16.1
# method: rf with motif score
# motif table: /media/ia1014/2011CBA352BBC48B/ipek/Diff_ATAC_maelstrom.out/motif.nr.score.txt.gz
# activity values: feature importances from fitted Random Forest model
	ATAC_gain	ATAC_loss
GM.5.0.C2H2_ZF_Homeodomain.0001	0.0019269756330233636	-0.0019269756330233636
GM.5.0.bHLH.0088	-0.0006141392409895293	0.0006141392409895293
GM.5.0.p53.0007	-0.002069808733720503	0.002069808733720503
GM.5.0.Zinc_cluster.0001	-0.002287299607625985	0.002287299607625985
GM.5.0.C2H2_ZF.0196	-0.002832387395965312	0.002832387395965312
GM.5.0.DM.0004	0.002151733413284975	-0.002151733413284975
GM.5.0.Unknown.0084	-0.0016177816121601797	0.0016177816121601797
GM.5.0.Unknown.0128	-0.0036443897029021055	0.0036443897029021055
GM.5.0.C2H2_ZF.0283	-0.0007402872877577232	0.0007402872877577232
GM.5.0.Mixed.0044	-0.0009310958753066659	0.0009310958753066659
GM.5.0.Unknown.0092	-0.0034570889225222327	0.0034570889225222327
GM.5.0.Nuclear_receptor.0070	-0.001113370822811844	0.001113370822811844
GM.5.0.Forkhead.0050	-0.0018048635001055508	0.0018048635001055508
GM.5.0.bHLH.0086	0.0011550164061508968	-0.0011550164061508968
GM.5.0.C2H2_ZF.0129	-0.0013529852043260692	0.0013529852043260692
GM.5.0.GATA.0025	-0.0036871701793493483	0.0036871701793493483
GM.5.0.Rel.0020	-0.000684931122603089	0.000684931122603089
GM.5.0.Unknown.0057	-0.0034433871902510545	0.0034433871902510545
GM.5.0.Grainyhead.0008	-0.0031704629093724118	0.0031704629093724118
GM.5.0.Unknown.0161	-0.004485399564658529	0.004485399564658529
GM.5.0.T-box.0018	-0.0024920759400834467	0.0024920759400834467
GM.5.0.SMAD.0007	0.001672465967692588	-0.001672465967692588
GM.5.0.Homeodomain.0166	0.0012400782290127926	-0.0012400782290127926
GM.5.0.Unknown.0119	-0.000703415731282529	0.000703415731282529
GM.5.0.C2H2_ZF.0012	0.001573000695633335	-0.001573000695633335
GM.5.0.Homeodomain.0053	-0.0011825662360600612	0.0011825662360600612
GM.5.0.C2H2_ZF.0123	-0.0012132092386278256	0.0012132092386278256
GM.5.0.Unknown.0085	-0.0012383397571287843	0.0012383397571287843
GM.5.0.Forkhead.0057	-0.0031871284100596763	0.0031871284100596763
GM.5.0.GATA.0018	-0.0006123196862851276	0.0006123196862851276
GM.5.0.Unknown.0121	0.0011725645617380997	-0.0011725645617380997
GM.5.0.C2HC_ZF.0001	-0.001642664178532506	0.001642664178532506
GM.5.0.Forkhead.0041	0.002782500902320448	-0.002782500902320448
GM.5.0.Homeodomain.0162	0.0014255076019602329	-0.0014255076019602329
GM.5.0.Myb_SANT.0009	0.0020751523677443517	-0.0020751523677443517
GM.5.0.C2H2_ZF.0219	-0.0029834737743975426	0.0029834737743975426
GM.5.0.Ets.0038	-0.002972762572682132	0.002972762572682132
GM.5.0.C2H2_ZF.0047	0.00529645415276487	-0.00529645415276487
GM.5.0.CUT_Homeodomain.0012	0.0008785270045749699	-0.0008785270045749699
GM.5.0.Unknown.0157	-0.0026541958218159116	0.0026541958218159116
GM.5.0.Mixed.0074	0.0008391105258652636	-0.0008391105258652636
GM.5.0.C2H2_ZF.0307	-0.0004924121677098368	0.0004924121677098368
GM.5.0.GCM.0004	0.002074898987776756	-0.002074898987776756
GM.5.0.C2H2_ZF.0134	-0.002027186210621861	0.002027186210621861
