Motif	# matches	% matches input	# matches background	%matches background	P-value	log10 P-value	ROC AUC	PR AUC	Enr. at 1% FPR	Recall at 10% FDR
GimmeMotifs_1	131	9.022	100	1.000	1.56e-58	57.806	0.862	0.436	9.02	0.0000
GimmeMotifs_2	148	10.193	100	1.000	2.17e-70	69.664	0.767	0.352	10.19	0.0131
GimmeMotifs_3	119	8.196	100	1.000	1.86e-50	49.730	0.747	0.318	8.19	0.0028
GimmeMotifs_4	81	5.579	101	1.010	9.77e-27	26.010	0.668	0.242	5.52	0.0000
GimmeMotifs_5	145	9.986	100	1.000	2.89e-68	67.539	0.814	0.394	9.99	0.0138
GimmeMotifs_6	51	3.512	101	1.010	1.71e-11	10.766	0.656	0.216	3.48	0.0000
GimmeMotifs_7	45	3.099	100	1.000	4.47e-09	8.350	0.572	0.166	3.10	0.0007
GimmeMotifs_8	75	5.165	100	1.000	1.38e-23	22.861	0.726	0.278	5.16	0.0000
GimmeMotifs_9	32	2.204	119	1.190	2.18e-03	2.661	0.694	0.220	1.85	0.0000
GimmeMotifs_10	65	4.477	113	1.130	2.46e-16	15.610	0.675	0.222	3.96	0.0000
GimmeMotifs_11	58	3.994	206	2.060	1.52e-05	4.817	0.645	0.191	1.94	0.0000
GimmeMotifs_12	51	3.512	100	1.000	1.29e-11	10.888	0.621	0.193	3.51	0.0007
GimmeMotifs_13	59	4.063	100	1.000	2.58e-15	14.588	0.626	0.204	4.06	0.0021
GimmeMotifs_14	55	3.788	100	1.000	2.01e-13	12.696	0.613	0.186	3.79	0.0000
GimmeMotifs_15	31	2.135	100	1.000	3.70e-04	3.432	0.620	0.189	2.13	0.0000
GimmeMotifs_16	75	5.165	278	2.780	3.36e-06	5.474	0.610	0.171	1.86	0.0000
GimmeMotifs_17	49	3.375	100	1.000	9.60e-11	10.018	0.585	0.178	3.37	0.0007
GimmeMotifs_18	32	2.204	100	1.000	1.87e-04	3.728	0.599	0.176	2.20	0.0000
GimmeMotifs_19	41	2.824	145	1.450	2.41e-04	3.618	0.580	0.173	1.95	0.0000
GimmeMotifs_20	37	2.548	100	1.000	4.53e-06	5.344	0.571	0.165	2.55	0.0007
GimmeMotifs_21	35	2.410	100	1.000	2.13e-05	4.671	0.567	0.163	2.41	0.0007
GimmeMotifs_22	33	2.273	100	1.000	9.27e-05	4.033	0.560	0.162	2.27	0.0069
GimmeMotifs_23	32	2.204	100	1.000	1.87e-04	3.728	0.549	0.159	2.20	0.0034
