# GimmeMotifs version 0.16.1
# Inputfile: /home/ia1014/gimmemotifs/output/cluster_1denovo/input.w200.bed
Motif	best_match	best_match_pvalue	enr_at_fpr	fraction_fpr	ks_pvalue	ks_significance	max_enrichment	max_fmeasure	mncp	num_cluster	phyper_at_fpr	pr_auc	recall_at_fdr	roc_auc	roc_auc_xlim	score_at_fpr	stars
GimmeMotifs_1		2.686540323537656e-09	7.094017094017094	0.07142857142857142	1.9537407284774305e-13	12.709133069922544	45.0	0.8043820814887072	3.731759223356375	55	4.038232306692839e-35	0.33917905352103694	0.0034423407917383822	0.8575109387636605	0.030572178065594084	2.1845189369033764	2
GimmeMotifs_2		0.0026742433998525605	8.973586654309546	0.09036144578313253	1.2970955916584108e-06	5.887028016668449	79.99311531841651	0.7307897813921588	2.9272047434226365	4	5.703670134570488e-51	0.26611629997634184	0.011187607573149742	0.7639135717374311	0.02257373709362924	2.402175762158971	2
GimmeMotifs_3	GM.5.0.Nuclear	0.00033609393330169546	7.435897435897436	0.07487091222030981	0.00027928355755449483	3.5539546320524935	49.99999999999999	0.7125494322098466	2.751025572114682	10	6.789950074432679e-38	0.25009427813421153	0.00774526678141136	0.7481402250259953	0.02148085827450454	2.6602917338481045	1
GimmeMotifs_4		0.0026407647715598337	4.3996213425129085	0.047332185886402756	0.00584117715329221	2.233499622123503	19.99827882960413	0.6768765040982425	1.8914317519196804	11	1.883312535446644e-16	0.17182822196700476	0.0025817555938037868	0.6609548370161699	0.014619904871227747	2.6411931011805945	1
GimmeMotifs_5		1.4430283955535472e-05	8.88888888888889	0.08950086058519793	5.429006880118253e-07	6.265279607967548	20.0	0.7594553706505295	3.2830238578995963	14	3.1828919424382366e-50	0.29845832979102765	0.0008605851979345956	0.8075250843551239	0.026377380680825003	2.4157192836689934	1
GimmeMotifs_6		7.940937164652162e-05	2.7728705940207408	0.028399311531841654	0.0002624964910727579	3.5808764976596397	9.999139414802064	0.6803480193576422	1.6578681380343276	3	1.7762721278514276e-06	0.15063667251495788	0.0008605851979345956	0.6482385593423081	0.011501111228137066	2.248614424181165	0
GimmeMotifs_7	GM.5.0.Nuclear	0.0016425374118793634	2.11864406779661	0.021514629948364887	0.6821162826989609	0.16614158336445767	10.0	0.6684251717441085	1.2690822367731556	1	0.001064823371626016	0.11537287017373755	0.0008605851979345956	0.5679824535417303	0.007236210640447204	2.7125566180861194	0
GimmeMotifs_8		0.0011756817449681822	4.745762711864407	0.04819277108433735	0.00011584993870769833	3.9361041916445316	5.402298850574713	0.7088624605254317	2.2569989348363935	4	7.057066475515231e-18	0.20525284522251355	0.0	0.7214008727311507	0.018619248499847873	2.4399940330609255	1
GimmeMotifs_9		7.658919624065064e-07	1.7948717948717952	0.018072289156626505	1.2155547420688293e-05	4.915225478085079	5.833333333333334	0.6998399534410009	1.7762432675612063	1	0.012982171341330302	0.16132738772061817	0.0	0.6939042128681927	0.011225744824338853	2.5093653662136575	0
GimmeMotifs_10	GM.5.0.MADS	0.00020067938274348496	4.049586776859504	0.04216867469879518	0.010858191395144233	1.96424250739185	4.1525423728813555	0.6913627886037688	1.7837388494781208	1	1.0440089198491175e-13	0.16175540325980928	0.0	0.6692541125900209	0.012731907856491727	2.4611383350492706	0
