symbol	invitro_DIV11	invivo_adult
Mas1	-3.971171951	0.637724275317992
Cck	-4.781069428	-1.06384762512538
Cpne7	-2.612313349	0.615462025353352
RP24-473D4.1	1.440591524	-0.677280766504931
AC121838.2	-2.221049772	-0.764946884810243
Rgs13	4.278657605	0.794685454809431
Sertm1	-2.47784173	-0.611997353821143
Mafb	1.090150912	-0.5834751433086
Tox2	1.475243452	-0.688623385981735
Gprin3	-1.839877642	0.706275334433738
Cav1	-0.796090335	0.598501017534927
Necab1	1.162197612	1.14285282725191
Arl4d	1.123017175	-0.703302192990524
Nova1	1.468169686	0.695061435919244
Dach2	-1.193817554	0.779259892757989
Slc6a7	-2.041795081	0.661960298540765
Tmem91	1.984804641	0.771947552574434
Dlx2	1.222801257	-1.09454310103223
Adcy7	-2.196571551	0.626244595802166
Chrna5	-1.608004801	-1.32375650666798
Erbb4	0.974943481	-0.98803772821503
Cpne9	2.478273209	0.956106096856465
RP23-198J15.1	-1.293307217	-0.67607728893312
Gad1	1.317532969	-0.58672821037464
Cacng3	0.83253976	-1.19169722037652
Gad2	1.443302004	-0.841470107811827
Tox	1.676804169	-0.829333489060081
Usp43	-1.491022254	-0.586977263196863
Lrrc17	1.885835834	1.08012655524183
Cped1	0.988257002	0.651259284283402
Cntnap3	0.580811655	-1.81620844998236
Csf1r	-1.644884818	0.656777057109533
Neto1	-0.95814521	-0.904758604300048
Nr4a2	-1.33298702	-1.17526312969904
Htr2c	-0.847258323	0.596365229825668
Pou3f1	-1.162762017	-2.01314106259775
Npy1r	-0.723940611	-0.915320807239818
Hs6st3	-1.131396951	0.676957373702403
Dlx6os1	1.115660717	-0.900411588687348
Slc32a1	0.872209491	-0.770711295662699
Sox2ot	0.738592149	-0.618794417819084
Clrn1	-0.853717855	0.621366527548619
B3gat1	-0.588285354	-0.581394942972259
Mid2	0.648283464	0.586680845445877
Adarb2	0.933146068	-0.760608797625556
Sp9	1.106008563	-0.613242134424018
Col13a1	0.789901214	0.893197754226816
Rnf152	0.647687795	0.720487893462328
Nts	-1.743345246	-4.34081066686178
Lyz2	-0.669978988	0.944128258432989
Fcgr3	-1.016550993	0.790777955095321
Dlx5	0.781177801	-1.08312295795109
Svep1	0.790764608	0.776460916597424
Elfn1	0.666279499	-1.0580036781019
Syt6	0.726439515	-1.0005368093835
Id2	-0.669842153	-0.67059671358843
Lhx6	0.580148138	-1.11775546216196
Ecm2	0.605038379	0.619562617218931
Htr3a	-0.594094032	-1.57035117334151
Satb2	-0.598438985	-2.64477232327141
