Chrom	Start	End	region_74811	X0.0	X.	X77852212.1	X77852413.1	X0	X1	X201	X77852205	cluster_1	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	geneId
chr3	108145295	108145496	region_117306	0	+	108145295	108145496	0	1	201	108145294	cluster_2	Promoter (<=1kb)	3	108107280	108146146	38867	2	ENSMUST00000000001	650	ENSMUSG00000000001	ENSMUSG00000000001
chr16	18811861	18812062	region_70344	0	+	18811861	18812062	0	1	201	18811860	cluster_2	Promoter (<=1kb)	16	18780447	18811972	31526	2	ENSMUST00000000028	0	ENSMUSG00000000028	ENSMUSG00000000028
chr11	108342021	108342222	region_33616	0	+	108342021	108342222	0	1	201	108342020	cluster_2	Promoter (1-2kb)	11	108343354	108395905	52552	1	ENSMUST00000133383	-1132	ENSMUSG00000000049	ENSMUSG00000000049
chr11	108274017	108274218	region_33609	0	+	108274017	108274218	0	1	201	108274016	cluster_2	Intron (ENSMUST00000059595/ENSMUSG00000050965, intron 2 of 16)	11	108343354	108395905	52552	1	ENSMUST00000133383	-69136	ENSMUSG00000000049	ENSMUSG00000000049
chr11	121236728	121236929	region_34968	0	+	121236728	121236929	0	1	201	121236727	cluster_2	Promoter (<=1kb)	11	121237253	121255856	18604	1	ENSMUST00000103015	-324	ENSMUSG00000000056	ENSMUSG00000000056
chr13	5627528	5627729	region_43793	0	+	5627528	5627729	0	1	201	5627523	cluster_2	Distal Intergenic	13	5861489	5870393	8905	1	ENSMUST00000000080	-233760	ENSMUSG00000000078	ENSMUSG00000000078
chr13	5861514	5861715	region_43811	0	+	5861514	5861715	0	1	201	5861509	cluster_2	Promoter (<=1kb)	13	5861489	5870393	8905	1	ENSMUST00000000080	26	ENSMUSG00000000078	ENSMUSG00000000078
chr9	57520629	57520830	region_178926	0	+	57520629	57520830	0	1	201	57520624	cluster_2	Promoter (<=1kb)	9	57521232	57532424	11193	1	ENSMUST00000000090	-402	ENSMUSG00000000088	ENSMUSG00000000088
chr11	95586316	95586517	region_32241	0	+	95586316	95586517	0	1	201	95586307	cluster_2	Promoter (1-2kb)	11	95568818	95587735	18918	2	ENSMUST00000000122	1218	ENSMUSG00000000120	ENSMUSG00000000120
chr11	59307736	59307937	region_28821	0	+	59307736	59307937	0	1	201	59307731	cluster_2	Promoter (<=1kb)	11	59306930	59333552	26623	1	ENSMUST00000108783	807	ENSMUSG00000000126	ENSMUSG00000000126
chr11	59305566	59305767	region_28820	0	+	59305566	59305767	0	1	201	59305561	cluster_2	Promoter (1-2kb)	11	59306928	59333552	26625	1	ENSMUST00000000128	-1161	ENSMUSG00000000126	ENSMUSG00000000126
chr11	108918572	108918773	region_33659	0	+	108918572	108918773	0	1	201	108918571	cluster_2	Promoter (1-2kb)	11	108920349	108950783	30435	1	ENSMUST00000052915	-1576	ENSMUSG00000000142	ENSMUSG00000000142
chr11	108900751	108900952	region_33655	0	+	108900751	108900952	0	1	201	108900750	cluster_2	Distal Intergenic	11	108920349	108950783	30435	1	ENSMUST00000052915	-19397	ENSMUSG00000000142	ENSMUSG00000000142
chr5	140826512	140826713	region_142790	0	+	140826512	140826713	0	1	201	140826511	cluster_2	Intron (ENSMUST00000000153/ENSMUSG00000000149, intron 1 of 3)	5	140758408	140830431	72024	2	ENSMUST00000000153	3718	ENSMUSG00000000149	ENSMUSG00000000149
chr9	50658874	50659075	region_178272	0	+	50658874	50659075	0	1	201	50658869	cluster_2	Promoter (<=1kb)	9	50634633	50659780	25148	2	ENSMUST00000034567	705	ENSMUSG00000000168	ENSMUSG00000000168
chr9	50664361	50664562	region_178275	0	+	50664361	50664562	0	1	201	50664356	cluster_2	Exon (ENSMUST00000034566/ENSMUSG00000032064, exon 1 of 20)	9	50634633	50659780	25148	2	ENSMUST00000034567	-4582	ENSMUSG00000000168	ENSMUSG00000000168
chr9	50603678	50603879	region_178270	0	+	50603678	50603879	0	1	201	50603673	cluster_2	Promoter (<=1kb)	9	50596338	50603849	7512	2	ENSMUST00000000175	0	ENSMUSG00000000171	ENSMUSG00000000171
