Chrom	Start	End	cluster_1	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	geneId
chr3	108107274	108146152	cluster_4	Promoter (<=1kb)	3	108107280	108146146	38867	2	ENSMUST00000000001	0	ENSMUSG00000000001	ENSMUSG00000000001
chr11	107933386	108343888	cluster_4	Promoter (<=1kb)	11	108343354	108395905	52552	1	ENSMUST00000133383	0	ENSMUSG00000000049	ENSMUSG00000000049
chr4	120405280	120530199	cluster_4	Promoter (<=1kb)	4	120405281	120454515	49235	1	ENSMUST00000134375	0	ENSMUSG00000000085	ENSMUSG00000000085
chr9	57521231	57532426	cluster_4	Promoter (<=1kb)	9	57521232	57532424	11193	1	ENSMUST00000000090	0	ENSMUSG00000000088	ENSMUSG00000000088
chr11	85890062	85916097	cluster_4	Promoter (<=1kb)	11	85890063	85916097	26035	1	ENSMUST00000000096	0	ENSMUSG00000000094	ENSMUSG00000000094
chr17	63863980	64139496	cluster_4	Promoter (<=1kb)	17	63896018	64139494	243477	1	ENSMUST00000000129	0	ENSMUSG00000000127	ENSMUSG00000000127
chr7	126101714	126200499	cluster_4	Promoter (<=1kb)	7	126101716	126200408	98693	2	ENSMUST00000009344	0	ENSMUSG00000000131	ENSMUSG00000000131
chr7	126224246	126237604	cluster_4	Distal Intergenic	7	126101715	126200501	98787	2	ENSMUST00000168189	-23746	ENSMUSG00000000131	ENSMUSG00000000131
chr5	140759943	140830431	cluster_4	Promoter (<=1kb)	5	140758408	140830431	72024	2	ENSMUST00000000153	0	ENSMUSG00000000149	ENSMUSG00000000149
chr9	50634632	50659780	cluster_4	Promoter (<=1kb)	9	50634633	50659780	25148	2	ENSMUST00000034567	0	ENSMUSG00000000168	ENSMUSG00000000168
chr2	31152315	31216567	cluster_4	Promoter (<=1kb)	2	31152316	31218775	66460	1	ENSMUST00000056433	0	ENSMUSG00000000194	ENSMUSG00000000194
chr14	123276640	123627144	cluster_4	Promoter (<=1kb)	14	123276641	123627144	350504	2	ENSMUST00000000201	0	ENSMUSG00000000197	ENSMUSG00000000197
chr7	121734478	121768482	cluster_4	Promoter (<=1kb)	7	121734479	121768475	33997	1	ENSMUST00000000221	0	ENSMUSG00000000216	ENSMUSG00000000216
chr11	55514238	55608198	cluster_4	Promoter (<=1kb)	11	55514238	55607733	93496	2	ENSMUST00000108853	0	ENSMUSG00000000263	ENSMUSG00000000263
chr11	89037581	89060748	cluster_4	Promoter (<=1kb)	11	89037582	89060748	23167	2	ENSMUST00000000285	0	ENSMUSG00000000276	ENSMUSG00000000276
chr11	89060750	89067884	cluster_4	Promoter (<=1kb)	11	89035179	89066850	31672	2	ENSMUST00000107894	0	ENSMUSG00000000276	ENSMUSG00000000276
chr10	31332379	31445921	cluster_4	Promoter (<=1kb)	10	31332380	31445921	113542	2	ENSMUST00000000305	0	ENSMUSG00000000296	ENSMUSG00000000296
chr16	18426416	18479073	cluster_4	Promoter (<=1kb)	16	18407346	18426852	19507	2	ENSMUST00000115609	0	ENSMUSG00000000326	ENSMUSG00000000326
