Chrom	Start	End	cluster_1	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	geneId
chr7	142575529	142578146	cluster_5	Promoter (<=1kb)	7	142575529	142578143	2615	2	ENSMUST00000136359	0	ENSMUSG00000000031	ENSMUSG00000000031
chr11	108395296	108414396	cluster_5	Promoter (<=1kb)	11	108395293	108414396	19104	1	ENSMUST00000000049	4	ENSMUSG00000000049	ENSMUSG00000000049
chr6	17281184	17282684	cluster_5	Promoter (<=1kb)	6	17281185	17289115	7931	1	ENSMUST00000000058	0	ENSMUSG00000000058	ENSMUSG00000000058
chr11	95568820	95587698	cluster_5	Promoter (<=1kb)	11	95568818	95587735	18918	2	ENSMUST00000000122	37	ENSMUSG00000000120	ENSMUSG00000000120
chr11	103774174	103818021	cluster_5	Promoter (<=1kb)	11	103774150	103817957	43808	1	ENSMUST00000000127	25	ENSMUSG00000000125	ENSMUSG00000000125
chr17	64049861	64050672	cluster_5	Intron (ENSMUST00000000129/ENSMUSG00000000127, intron 14 of 17)	17	63937972	64139494	201523	1	ENSMUST00000038080	111890	ENSMUSG00000000127	ENSMUSG00000000127
chr7	143473754	143499332	cluster_5	Promoter (<=1kb)	7	143473768	143497051	23284	1	ENSMUST00000150791	0	ENSMUSG00000000154	ENSMUSG00000000154
chr16	96422297	96443614	cluster_5	Promoter (<=1kb)	16	96422292	96443614	21323	2	ENSMUST00000131567	0	ENSMUSG00000000157	ENSMUSG00000000157
chr16	96361756	96404030	cluster_5	Promoter (<=1kb)	16	96361794	96404028	42235	1	ENSMUST00000000163	0	ENSMUSG00000000159	ENSMUSG00000000159
chr6	127072901	127082296	cluster_5	Promoter (<=1kb)	6	127072902	127081408	8507	1	ENSMUST00000000186	0	ENSMUSG00000000182	ENSMUSG00000000182
chr6	127015541	127024718	cluster_5	Promoter (<=1kb)	6	127015542	127024718	9177	1	ENSMUST00000000187	0	ENSMUSG00000000183	ENSMUSG00000000183
chr11	83175185	83190216	cluster_5	Promoter (<=1kb)	11	83175186	83190221	15036	1	ENSMUST00000000208	0	ENSMUSG00000000204	ENSMUSG00000000204
chr7	142892775	142899966	cluster_5	Promoter (<=1kb)	7	142892966	142899961	6996	2	ENSMUST00000124951	0	ENSMUSG00000000214	ENSMUSG00000000214
chr7	142678655	142679726	cluster_5	Promoter (<=1kb)	7	142678656	142679685	1030	2	ENSMUST00000105931	0	ENSMUSG00000000215	ENSMUSG00000000215
chr7	143005045	143019485	cluster_5	Promoter (<=1kb)	7	143005046	143019486	14441	1	ENSMUST00000009396	0	ENSMUSG00000000244	ENSMUSG00000000244
chr2	38339280	38369737	cluster_5	Promoter (<=1kb)	2	38339281	38369199	29919	1	ENSMUST00000143783	0	ENSMUSG00000000247	ENSMUSG00000000247
chr6	128952352	128975029	cluster_5	Promoter (<=1kb)	6	128971160	128984707	13548	1	ENSMUST00000142388	0	ENSMUSG00000000248	ENSMUSG00000000248
chr6	128934380	128984707	cluster_5	Promoter (<=1kb)	6	128934381	128984704	50324	1	ENSMUST00000000254	0	ENSMUSG00000000248	ENSMUSG00000000248
chr6	128931792	128931845	cluster_5	Promoter (2-3kb)	6	128934381	128984704	50324	1	ENSMUST00000000254	-2536	ENSMUSG00000000248	ENSMUSG00000000248
chr11	88999402	89020293	cluster_5	Promoter (<=1kb)	11	88999376	89020293	20918	1	ENSMUST00000107896	27	ENSMUSG00000000275	ENSMUSG00000000275
chr10	77530347	77565674	cluster_5	Promoter (<=1kb)	10	77530370	77548672	18303	1	ENSMUST00000130059	0	ENSMUSG00000000290	ENSMUSG00000000290
