Chrom	Start	End	cluster_1	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	geneId
chr4	120405280	120530199	cluster_4	Promoter (<=1kb)	4	120405281	120454515	49235	1	ENSMUST00000134375	0	ENSMUSG00000000085	ENSMUSG00000000085
chr11	85832614	85841948	cluster_4	Promoter (<=1kb)	11	85832551	85841948	9398	1	ENSMUST00000000095	64	ENSMUSG00000000093	ENSMUSG00000000093
chr11	95568820	95587698	cluster_4	Promoter (<=1kb)	11	95568818	95587735	18918	2	ENSMUST00000000122	37	ENSMUSG00000000120	ENSMUSG00000000120
chr7	126101714	126200499	cluster_4	Promoter (<=1kb)	7	126101716	126200408	98693	2	ENSMUST00000009344	0	ENSMUSG00000000131	ENSMUSG00000000131
chr5	140759943	140830431	cluster_4	Promoter (<=1kb)	5	140758408	140830431	72024	2	ENSMUST00000000153	0	ENSMUSG00000000149	ENSMUSG00000000149
chr13	45507443	45546386	cluster_4	Promoter (<=1kb)	13	45507444	45546382	38939	1	ENSMUST00000000260	0	ENSMUSG00000000253	ENSMUSG00000000253
chr11	89037581	89060748	cluster_4	Promoter (<=1kb)	11	89037582	89060748	23167	2	ENSMUST00000000285	0	ENSMUSG00000000276	ENSMUSG00000000276
chr11	89060750	89067884	cluster_4	Promoter (<=1kb)	11	89035179	89066850	31672	2	ENSMUST00000107894	0	ENSMUSG00000000276	ENSMUSG00000000276
chr10	31313404	31328086	cluster_4	Promoter (<=1kb)	10	31313405	31317032	3628	1	ENSMUST00000162076	0	ENSMUSG00000000295	ENSMUSG00000000295
chr10	31332379	31445921	cluster_4	Promoter (<=1kb)	10	31332380	31445921	113542	2	ENSMUST00000000305	0	ENSMUSG00000000296	ENSMUSG00000000296
chr2	179442430	179847704	cluster_4	Promoter (<=1kb)	2	179442431	179899373	456943	1	ENSMUST00000000314	0	ENSMUSG00000000305	ENSMUSG00000000305
chr2	121358640	121363737	cluster_4	Promoter (<=1kb)	2	121358656	121360985	2330	1	ENSMUST00000126130	0	ENSMUSG00000000308	ENSMUSG00000000308
chr16	18348181	18407074	cluster_4	Promoter (<=1kb)	16	18348182	18407076	58895	1	ENSMUST00000115614	0	ENSMUSG00000000325	ENSMUSG00000000325
chr16	18406881	18426716	cluster_4	Promoter (<=1kb)	16	18406886	18413494	6609	2	ENSMUST00000165430	0	ENSMUSG00000000326	ENSMUSG00000000326
chr16	18426416	18479073	cluster_4	Promoter (<=1kb)	16	18407346	18426852	19507	2	ENSMUST00000115609	0	ENSMUSG00000000326	ENSMUSG00000000326
chr10	78186725	78244642	cluster_4	Promoter (<=1kb)	10	78186725	78244642	57918	2	ENSMUST00000000384	0	ENSMUSG00000000374	ENSMUSG00000000374
chr11	6546886	6596761	cluster_4	Promoter (<=1kb)	11	6546887	6596744	49858	1	ENSMUST00000000388	0	ENSMUSG00000000378	ENSMUSG00000000378
chr18	24205343	24286816	cluster_4	Promoter (<=1kb)	18	24205344	24286818	81475	1	ENSMUST00000000430	0	ENSMUSG00000000420	ENSMUSG00000000420
chr10	107482907	107486134	cluster_4	Promoter (<=1kb)	10	107482908	107486134	3227	2	ENSMUST00000000445	0	ENSMUSG00000000435	ENSMUSG00000000435
chr6	115360950	115490401	cluster_4	Promoter (<=1kb)	6	115361221	115490401	129181	1	ENSMUST00000171644	0	ENSMUSG00000000440	ENSMUSG00000000440
chr15	101221246	101222155	cluster_4	Promoter (2-3kb)	15	101224207	101232755	8549	1	ENSMUST00000000543	-2052	ENSMUSG00000000531	ENSMUSG00000000531
chr15	101221190	101225186	cluster_4	Promoter (<=1kb)	15	101224207	101232755	8549	1	ENSMUST00000000543	0	ENSMUSG00000000531	ENSMUSG00000000531
chr15	101224206	101232756	cluster_4	Promoter (<=1kb)	15	101224207	101232755	8549	1	ENSMUST00000000543	0	ENSMUSG00000000531	ENSMUSG00000000531
chr15	103313894	103340086	cluster_4	Promoter (<=1kb)	15	103313895	103340086	26192	2	ENSMUST00000168828	0	ENSMUSG00000000552	ENSMUSG00000000552
chr5	99955934	99978938	cluster_4	Promoter (<=1kb)	5	99958426	99978938	20513	2	ENSMUST00000172361	0	ENSMUSG00000000568	ENSMUSG00000000568
chr5	3803164	3844515	cluster_4	Promoter (<=1kb)	5	3803165	3844515	41351	1	ENSMUST00000080085	0	ENSMUSG00000000600	ENSMUSG00000000600
chr6	82911884	82939769	cluster_4	Promoter (<=1kb)	6	82911885	82939769	27885	2	ENSMUST00000000641	0	ENSMUSG00000000627	ENSMUSG00000000627
chr6	82725026	82774454	cluster_4	Promoter (<=1kb)	6	82725025	82774454	49430	2	ENSMUST00000000642	0	ENSMUSG00000000628	ENSMUSG00000000628
