Chrom	Start	End	cluster_1	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	geneId
chr3	108107274	108146152	cluster_3	Promoter (<=1kb)	3	108107280	108146146	38867	2	ENSMUST00000000001	0	ENSMUSG00000000001	ENSMUSG00000000001
chr16	18780446	18811972	cluster_3	Promoter (<=1kb)	16	18780447	18811972	31526	2	ENSMUST00000000028	0	ENSMUSG00000000028	ENSMUSG00000000028
chr11	121237235	121255856	cluster_3	Promoter (<=1kb)	11	121237253	121255856	18604	1	ENSMUST00000103015	0	ENSMUSG00000000056	ENSMUSG00000000056
chr5	140705010	140719378	cluster_3	Promoter (<=1kb)	5	140705011	140719379	14369	1	ENSMUST00000041588	0	ENSMUSG00000000148	ENSMUSG00000000148
chr9	50605239	50617464	cluster_3	Promoter (<=1kb)	9	50617321	50624997	7677	1	ENSMUST00000000171	0	ENSMUSG00000000167	ENSMUSG00000000167
chr9	50617320	50625000	cluster_3	Promoter (<=1kb)	9	50617321	50624997	7677	1	ENSMUST00000000171	0	ENSMUSG00000000167	ENSMUSG00000000167
chr9	50634632	50659780	cluster_3	Promoter (<=1kb)	9	50634633	50659780	25148	2	ENSMUST00000034567	0	ENSMUSG00000000168	ENSMUSG00000000168
chr9	50596339	50603849	cluster_3	Promoter (<=1kb)	9	50596338	50603849	7512	2	ENSMUST00000000175	0	ENSMUSG00000000171	ENSMUSG00000000171
chr2	31152315	31216567	cluster_3	Promoter (<=1kb)	2	31152316	31218775	66460	1	ENSMUST00000056433	0	ENSMUSG00000000194	ENSMUSG00000000194
chr14	123276640	123627144	cluster_3	Promoter (<=1kb)	14	123276641	123627144	350504	2	ENSMUST00000000201	0	ENSMUSG00000000197	ENSMUSG00000000197
chr7	121734478	121768482	cluster_3	Promoter (<=1kb)	7	121734479	121768475	33997	1	ENSMUST00000000221	0	ENSMUSG00000000216	ENSMUSG00000000216
chr11	59970613	60046489	cluster_3	Promoter (<=1kb)	11	59970614	59971510	897	2	ENSMUST00000150954	0	ENSMUSG00000000301	ENSMUSG00000000301
chr11	6615597	6626067	cluster_3	Promoter (<=1kb)	11	6615598	6626043	10446	2	ENSMUST00000156969	0	ENSMUSG00000000384	ENSMUSG00000000384
chr6	126821862	126849144	cluster_3	Promoter (<=1kb)	6	126821863	126849144	27282	2	ENSMUST00000088194	0	ENSMUSG00000000399	ENSMUSG00000000399
chr6	115618572	115676635	cluster_3	Promoter (<=1kb)	6	115618067	115634621	16555	2	ENSMUST00000130528	0	ENSMUSG00000000441	ENSMUSG00000000441
chr11	60226713	60352905	cluster_3	Promoter (<=1kb)	11	60226714	60352905	126192	2	ENSMUST00000095254	0	ENSMUSG00000000538	ENSMUSG00000000538
chr17	6601670	6607899	cluster_3	Promoter (<=1kb)	17	6601671	6609679	8009	1	ENSMUST00000092966	0	ENSMUSG00000000579	ENSMUSG00000000579
chr17	6601778	6607891	cluster_3	Promoter (<=1kb)	17	6601792	6603934	2143	1	ENSMUST00000149027	0	ENSMUSG00000000579	ENSMUSG00000000579
chr11	17257617	17269176	cluster_3	Promoter (<=1kb)	11	17257688	17266624	8937	1	ENSMUST00000156784	0	ENSMUSG00000000581	ENSMUSG00000000581
chr11	55097984	55113028	cluster_3	Promoter (<=1kb)	11	55098115	55113029	14915	1	ENSMUST00000000608	0	ENSMUSG00000000594	ENSMUSG00000000594
chr8	123102349	123105242	cluster_3	Promoter (<=1kb)	8	123102350	123105244	2895	1	ENSMUST00000000756	0	ENSMUSG00000000740	ENSMUSG00000000740
chr14	70438747	70443227	cluster_3	Promoter (<=1kb)	14	70438748	70443227	4480	2	ENSMUST00000180358	0	ENSMUSG00000000776	ENSMUSG00000000776
chr2	181497141	181517962	cluster_3	Promoter (<=1kb)	2	181497142	181515115	17974	1	ENSMUST00000125529	0	ENSMUSG00000000827	ENSMUSG00000000827
chr16	18498712	18566680	cluster_3	Promoter (<=1kb)	16	18498768	18566679	67912	1	ENSMUST00000167778	0	ENSMUSG00000000884	ENSMUSG00000000884
chr5	135369952	135376797	cluster_3	Promoter (<=1kb)	5	135369953	135376798	6846	1	ENSMUST00000000940	0	ENSMUSG00000000916	ENSMUSG00000000916
chr14	54360840	54369669	cluster_3	Promoter (<=1kb)	14	54360841	54369669	8829	1	ENSMUST00000000985	0	ENSMUSG00000000959	ENSMUSG00000000959
chr11	83753636	83783754	cluster_3	Promoter (<=1kb)	11	83753696	83783754	30059	1	ENSMUST00000001002	0	ENSMUSG00000000976	ENSMUSG00000000976
chr3	90476200	90488379	cluster_3	Promoter (<=1kb)	3	90476201	90488379	12179	1	ENSMUST00000001042	0	ENSMUSG00000001016	ENSMUSG00000001016
chr3	90498538	90509498	cluster_3	Promoter (<=1kb)	3	90498956	90509450	10495	2	ENSMUST00000107343	0	ENSMUSG00000001017	ENSMUSG00000001017
chr3	90488025	90491013	cluster_3	Promoter (<=1kb)	3	90488026	90490428	2403	2	ENSMUST00000107352	0	ENSMUSG00000001018	ENSMUSG00000001018
chr11	61505171	61512927	cluster_3	Promoter (<=1kb)	11	61505203	61512931	7729	1	ENSMUST00000140548	0	ENSMUSG00000001039	ENSMUSG00000001039
